id|tituloPincipal|tituloOriginal|anoLancamento|tempoMinutos|genero|notaMedia|numeroVotos|generoArtista|personagem|nomeArtista|anoNascimento|anoFalecimento|profissao|titulosMaisConhecidos
tt1627926|Night of the Pumpkin|Night of the Pumpkin|2010|88|Horror|3.2|137|actress|Elyse|Kellyn Lindsay|\N|\N|actress|tt1125351,tt1989650,tt2140619,tt0203259
tt1628038|Eden Burning|Eden Burning|2010|76|Horror|2.4|13|actress|Evelyn|Briony Price|\N|\N|actress|tt1628038
tt16281274|Halloween the Legacy|Halloween: O Legado|2022|45|Horror|7.7|167|actor|Bodyguard - Jones|Rodolfo Durão|\N|\N|actor|tt16766174,tt16281274
tt16296784|Voodoo Virus|Voodoo Virus|2021|\N|Horror|5.8|13|actor|Billy Joe|Daren Donofrio|1981|\N|actor,miscellaneous,transportation_department|tt5827228,tt0098844,tt9742936,tt3322310
tt1629711|Exhibit A-7|Exhibit A-7|2010|76|Horror|6.5|20|actor|Rob|Robert Pralgo|1966|\N|actor,producer,director|tt4154796,tt1285309,tt3480822,tt2820852
tt16298806|Pamali|Pamali|2022|99|Horror|5.5|227|actor|Jaka Sunarya|Marthino Lio|\N|\N|actor,soundtrack|tt13387422,tt5687416,tt13642366,tt8836476
tt1630607|Nostrum|Nostrum|2010|79|Horror|3.3|259|actress|Bubbles|Aimee Feler|\N|\N|actress|tt1101009,tt0420403,tt1359465,tt1630607
tt1631699|Dendam Pocong Mupeng|Dendam Pocong Mupeng|2010|\N|Horror|4.2|10|actress|\N|Tesa Mariska|\N|\N|actress|tt1631699,tt9048030,tt1590984
tt1631739|Kain Kafan Perawan|Kain Kafan Perawan|2010|85|Horror|4.3|38|actress|\N|Sarah Jane|\N|\N|actress|tt1631739,tt1774548,tt1537896
tt1631790|Pemburu Hantu: The Movie|Pemburu Hantu: The Movie|2010|81|Horror|5.4|14|actor|\N|Hariry Mak|\N|\N|actor|tt1631790
tt1631824|Te[rekam]|Te[rekam]|2010|75|Horror|3.8|20|actress|\N|Monique Henry|\N|\N|actress|tt16306374,tt1748168,tt1620421,tt1256512
tt1631840|Tiran: Mati di Ranjang|Tiran: Mati di Ranjang|2010|77|Horror|4.4|27|actress|Ling Ling|Zuzana Chang|1979|\N|actress|tt6357220,tt2881292,tt1631840
tt1631841|Toilet 105|Toilet 105|2010|\N|Horror|5.4|57|actress|Marsya|Coralie Gerald|\N|\N|actress|tt1631841
tt1632705|Creed|Creed|2010|77|Horror|7.2|18|actress|Emily Foster|Amy Sanders|\N|\N|actress,writer|tt1261871,tt3483390,tt1611174,tt1737684
tt1634058|Star Vehicle|Star Vehicle|2010|75|Horror|3.5|311|actor|Frankie the Driver|Mike Li|\N|\N|actor,writer,producer|tt6170874,tt1740299,tt5758778,tt5651844
tt1634070|The Horror of the Dolls|The Horror of the Dolls|2010|81|Horror|4.6|71|actress|Blood Girl 1|Ava Barnett|\N|\N|actress|tt1634070
tt16350506|Loving Polly|Loving Polly|2021|45|Horror|8.9|38|actress|Vanessa|Marcia Aracena Cruz|\N|\N|actress|tt16350506,tt12036544
tt1637712|Pig|Pig|2010|70|Horror|3.7|396|actress|Savannah|Molly Black|\N|\N|actress,miscellaneous|tt1637712,tt6102104,tt5867592
tt1638273|Hellementary: An Education in Death|Hellementary: An Education in Death|2009|85|Horror|3.5|82|actress|Terri|Shayna Hickman|\N|\N|actress|tt1638273,tt1316015
tt1639841|Needles|Needles|2010|\N|Horror|7.0|9|actress|Bea Ledley|Hollie Godwin|\N|\N|actress|tt1639841
tt1640220|Mr. Hush|Mr. Hush|2010|85|Horror|2.2|447|actor|Mr. Hush|Edward X. Young|1959|\N|actor,special_effects,make_up_department|tt7983334,tt3096442,tt1303721,tt1662534
tt16404438|Tales from the Other Side|Tales from the Other Side|2022|90|Horror|3.3|165|actor|William (Segment: \Flicker\)|Vernon Wells|1945|\N|actor,producer,director|tt0090305,tt0093260,tt0088944,tt0082694
tt1640569|The Super|The Super|2010|98|Horror|5.4|247|actress|Olga|Manoush|\N|\N|actress,stunts,soundtrack|tt1323962,tt1605751,tt1492949,tt1568798
tt16410938|Squeak and I'll Run to You|Squeak and I'll Run to You|2022|69|Horror|6.0|12|actor|Professor Rex Shepherd|William Fitzgerald|\N|\N||tt20315818,tt16410938
tt1641633|Slaughtered|Slaughtered|2010|80|Horror|3.2|279|actress|Sarah|Cassandra Swaby|\N|\N|actress|tt1784359,tt0366548,tt1641633
tt16417990|Texas Chainsaw Mascara|Texas Chainsaw Mascara|2022|\N|Horror|4.6|9|actor|CJ|Colvin Burnett|\N|\N|actor|tt16417990
tt16420502|Night of the Bastard|Night of the Bastard|2022|82|Horror|6.0|10|actor|Reed|London May|\N|\N|actor,producer,miscellaneous|tt9425078,tt9777358,tt16420502,tt1345836
tt1642248|Killer Ink|Killer Ink|2016|92|Horror|5.8|93|actress|Tattoo Customer|Raquael Torres|\N|\N|actress,writer,producer|tt4790338,tt1711425,tt7410352,tt4705010
tt16426870|Curupira - O Demônio da Floresta|Curupira - O Demônio da Floresta|2021|82|Horror|4.5|33|actress|Antônia|Myla Arau|\N|\N|actress|tt16426870
tt16427398|Dark Nature|Dark Nature|2022|85|Horror|6.3|42|actor|\N|Daniel Arnold|\N|\N|actor,writer,producer|tt2473624
tt16429984|Monster Python|Monster Python|2018|64|Horror|4.2|19|actress|\N|Qian Wang|\N|\N|actress,writer|tt9859616,tt10195430,tt2240937,tt0289996
tt16429986|PussyCake|Emesis|2021|88|Horror|4.8|237|actress|Juli Cake|Sofia Rossi|\N|\N|actress|tt16429986
tt16432256|Night of doom|Night of doom|2021|\N|Horror|4.7|9|actor|Cannibale|Alessandro Davoli|\N|\N|actor,director,writer|tt10509186,tt4699498,tt8069406,tt18849138
tt1645184|Bloodless|Bloodless|2014|\N|Horror|4.8|106|actress|Rachael|Angela Zahra|\N|\N|actress|tt1645184,tt1470173,tt1370134,tt1156510
tt1646933|Noodles Not for Eating|Ren tou rou gu cha mian|1996|97|Horror|4.4|10|actor|\N|Min Fu|\N|\N|actor,miscellaneous,animation_department|tt0121375,tt3262310,tt2334649,tt3262140
tt1647468|Winter|Winter|2009|111|Horror|5.9|158|actor|Dr. Vinod|Manoj K. Jayan|\N|\N|actor,music_department,soundtrack|tt0353235,tt0887769,tt0353859,tt0228808
tt1647479|The Tapes|The Tapes|2011|80|Horror|3.1|522|actor|Danny's brother|Nick Nevern|1980|\N|actor,writer,director|tt12982370,tt1525182,tt2360446,tt8804852
tt1649749|Demon Exorcism: The Devil Inside Maxwell Bastas|Demon Equation|2013|\N|Horror|5.2|49|actor|Maxwell Bastas|Michael Mili|1957|\N|actor,producer,writer|tt2883448,tt4949412,tt0883362,tt7420342
